bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1356839,1653,HB2966,1,Introduced,2020-03-06,"Concerning state lands development authorities.","Concerning state lands development authorities.",3815,"House Housing, Community Development & Veterans",2020-03-06,"First reading, referred to Housing, Community Development & Veterans.",https://legiscan.com/WA/bill/HB2966/2019,https://app.leg.wa.gov/billsummary?BillNumber=2966&Year=2019&Initiative=false
1357600,1653,HB2967,1,Introduced,2020-03-07,"Increasing the prescriptive authority of psychologists.","Increasing the prescriptive authority of psychologists.",937,"House Health Care and Wellness",2020-03-07,"First reading, referred to Health Care & Wellness.",https://legiscan.com/WA/bill/HB2967/2019,https://app.leg.wa.gov/billsummary?BillNumber=2967&Year=2019&Initiative=false
1359444,1653,HB2968,1,Introduced,2020-03-12,"Concerning ballot envelope secrecy flaps.","Concerning ballot envelope secrecy flaps.",3819,"House State Government & Tribal Relations",2020-03-12,"First reading, referred to State Government & Tribal Relations.",https://legiscan.com/WA/bill/HB2968/2019,https://app.leg.wa.gov/billsummary?BillNumber=2968&Year=2019&Initiative=false
1359521,1653,HB2969,1,Introduced,2020-03-12,"Concerning housing assistance and relocation support for domestic violence victims.","Concerning housing assistance and relocation support for domestic violence victims.",2759,"House Appropriations",2020-03-12,"First reading, referred to Appropriations.",https://legiscan.com/WA/bill/HB2969/2019,https://app.leg.wa.gov/billsummary?BillNumber=2969&Year=2019&Initiative=false
1150563,1653,HR4600,0,,,"Adopting temporary rules for the House of Representatives.","Adopting temporary rules for the House of Representatives.",0,,2019-01-14,Adopted.,https://legiscan.com/WA/bill/HR4600/2019,https://app.leg.wa.gov/billsummary?BillNumber=4600&Year=2019&Initiative=false
1149635,1653,HR4601,0,,,"Notifying the Governor that the House of Representatives is organized and ready to conduct business.","Notifying the Governor that the House of Representatives is organized and ready to conduct business.",0,,2019-01-14,Adopted.,https://legiscan.com/WA/bill/HR4601/2019,https://app.leg.wa.gov/billsummary?BillNumber=4601&Year=2019&Initiative=false
1164258,1653,HR4602,0,,,"Honoring the Reverend Dr. Martin Luther King, Jr.","Honoring the Reverend Dr. Martin Luther King, Jr.",0,,2019-01-21,Adopted.,https://legiscan.com/WA/bill/HR4602/2019,https://app.leg.wa.gov/billsummary?BillNumber=4602&Year=2019&Initiative=false
1181330,1653,HR4603,0,,,"Honoring Mel Stottlemyre Sr.","Honoring Mel Stottlemyre Sr.",0,,2019-01-30,Adopted.,https://legiscan.com/WA/bill/HR4603/2019,https://app.leg.wa.gov/billsummary?BillNumber=4603&Year=2019&Initiative=false
1181560,1653,HR4604,0,,,"Honoring the National Teacher of the Year.","Honoring the National Teacher of the Year.",0,,2019-01-30,Adopted.,https://legiscan.com/WA/bill/HR4604/2019,https://app.leg.wa.gov/billsummary?BillNumber=4604&Year=2019&Initiative=false
1180946,1653,HR4605,0,,,"Honoring the Union High School football team.","Honoring the Union High School football team.",0,,2019-01-30,Adopted.,https://legiscan.com/WA/bill/HR4605/2019,https://app.leg.wa.gov/billsummary?BillNumber=4605&Year=2019&Initiative=false
1181406,1653,HR4606,0,,,"Honoring the Seattle General Strike of 1919.","Honoring the Seattle General Strike of 1919.",0,,2019-01-30,Adopted.,https://legiscan.com/WA/bill/HR4606/2019,https://app.leg.wa.gov/billsummary?BillNumber=4606&Year=2019&Initiative=false
1183007,1653,HR4607,0,,,"Adopting permanent rules for the House of Representatives.","Adopting permanent rules for the House of Representatives.",0,,2019-01-31,Adopted.,https://legiscan.com/WA/bill/HR4607/2019,https://app.leg.wa.gov/billsummary?BillNumber=4607&Year=2019&Initiative=false
1181100,1653,HR4608,0,,,"Commemorating Lunar New Year.","Commemorating Lunar New Year.",0,,2019-01-30,Adopted.,https://legiscan.com/WA/bill/HR4608/2019,https://app.leg.wa.gov/billsummary?BillNumber=4608&Year=2019&Initiative=false
1244721,1653,HR4609,0,,,"Honoring Edgar Mart&#xED;nez.","Honoring Edgar Mart&#xED;nez.",0,,2019-03-26,Adopted.,https://legiscan.com/WA/bill/HR4609/2019,https://app.leg.wa.gov/billsummary?BillNumber=4609&Year=2019&Initiative=false
1211836,1653,HR4610,0,,,"Honoring Japanese Americans who suffered relocation and internment during World War II.","Honoring Japanese Americans who suffered relocation and internment during World War II.",0,,2019-02-20,Adopted.,https://legiscan.com/WA/bill/HR4610/2019,https://app.leg.wa.gov/billsummary?BillNumber=4610&Year=2019&Initiative=false
1209303,1653,HR4611,0,,,"Recognizing Washington FFA Association.","Recognizing Washington FFA Association.",0,,2019-02-18,Adopted.,https://legiscan.com/WA/bill/HR4611/2019,https://app.leg.wa.gov/billsummary?BillNumber=4611&Year=2019&Initiative=false
1209013,1653,HR4612,0,,,"Celebrating Children&#x27;s Day.","Celebrating Children&#x27;s Day.",0,,2019-02-18,Adopted.,https://legiscan.com/WA/bill/HR4612/2019,https://app.leg.wa.gov/billsummary?BillNumber=4612&Year=2019&Initiative=false
